
categories,actions
Vehicles - Seats and Operator Modes,Emergency Exit Seat
Vehicles - Seats and Operator Modes,Eject
Vehicles - Seats and Operator Modes,Look behind
Vehicles - Seats and Operator Modes,Toggle Mining Operator Mode
Vehicles - Seats and Operator Modes,Toggle Salvage Operator Mode
Vehicles - Seats and Operator Modes,Toggle Scanning Operator Mode
Vehicles - Seats and Operator Modes,Toggle Quantum Operator Mode
Vehicles - Seats and Operator Modes,Toggle Missile Operator Mode
Vehicles - Seats and Operator Modes,Toggle Guns Operator Mode
Vehicles - Seats and Operator Modes,Toggle Flight Operator Mode
Vehicles - Seats and Operator Modes,Set Mining Operator Mode
Vehicles - Seats and Operator Modes,Set Salvage Operator Mode
Vehicles - Seats and Operator Modes,Set Scanning Operator Mode
Vehicles - Seats and Operator Modes,Set Quantum Operator Mode
Vehicles - Seats and Operator Modes,Set Missile Operator Mode
Vehicles - Seats and Operator Modes,Set Guns Operator Mode
Vehicles - Seats and Operator Modes,Set Flight Operator Mode
Vehicles - Seats and Operator Modes,Enter Remote Turret 1
Vehicles - Seats and Operator Modes,Enter Remote Turret 2
Vehicles - Seats and Operator Modes,Enter Remote Turret 3
Vehicles - Seats and Operator Modes,Next Operator Mode
Vehicles - Seats and Operator Modes,Previous Operator Mode
Vehicles Cockpit,Self Destruct
Vehicles Cockpit,Increase Cooler Rate
Vehicles Cockpit,Decrease Cooler Rate
Vehicles Cockpit,Flight / Systems Ready
Vehicles Cockpit,Open/Close Doors (Toggle)
Vehicles Cockpit,Open All Doors
Vehicles Cockpit,Close All Doors
Vehicles Cockpit,Lock/Unlock Doors (Toggle)
Vehicles Cockpit,Lock All Doors
Vehicles Cockpit,Unlock All Doors
Vehicles Cockpit,Port Lock Toggle All
Vehicles Cockpit,Port Lock All
Vehicles Cockpit,Port Unlock All
Vehicles - Multi Function Displays,MFD - Cycle Page - Forwards (Short Press)
Vehicles - Multi Function Displays,MFD - Cycle Page - Forwards (Long Press)
Vehicles - Multi Function Displays,MFD - Cycle Page - Backwards (Short Press)
Vehicles - Multi Function Displays,MFD - Cycle Page - Backwards (Long Press)
Vehicles - Multi Function Displays,MFD - Movement - Up (Short Press)
Vehicles - Multi Function Displays,MFD - Movement - Up (Long Press)
Vehicles - Multi Function Displays,MFD - Movement - Down (Short Press)
Vehicles - Multi Function Displays,MFD - Movement - Down (Long Press)
Vehicles - Multi Function Displays,MFD - Movement - Left (Short Press)
Vehicles - Multi Function Displays,MFD - Movement - Left (Long Press)
Vehicles - Multi Function Displays,MFD - Movement - Right (Short Press)
Vehicles - Multi Function Displays,MFD - Movement - Right (Long Press)
Vehicles - Multi Function Displays,MFD - Select - Primary (Short Press)
Vehicles - Multi Function Displays,MFD - Select - Primary (Long Press)
Vehicles - Multi Function Displays,MFD - Select - Left Cast (Short Press)
Vehicles - Multi Function Displays,MFD - Select - Left Cast (Long Press)
Vehicles - Multi Function Displays,MFD - Select - Right Cast (Short Press)
Vehicles - Multi Function Displays,MFD - Select - Right Cast (Long Press)
Vehicles - Multi Function Displays,MFD - Select - MFD 1 (Short Press)
Vehicles - Multi Function Displays,MFD - Select - MFD 1 (Long Press)
Vehicles - Multi Function Displays,MFD - Select - MFD 2 (Short Press)
Vehicles - Multi Function Displays,MFD - Select - MFD 2 (Long Press)
