action_key,suggested_label,category,confidence
v_hud_left_panel_up,"Nudge left salvage tool up","Vehicles Salvage",59.5
pc_screen_focus_right,"Strafe Left/Right","E.V.A All",58.8
v_view_mode,"View Left","E.V.A All",58.8
v_target_cycle_friendly_reset,"Cycle Lock - Friendlies - Reset to Closest","Vehicle Target Cycling",58.6
free_thirdperson_camera,"Free View Camera (Hold)","On Foot All",58.5
v_hud_confirm,"Confirm Launch","Social - Emotes",58.3
v_speed_range_abs,"Speed Limiter (abs)","Flight Movements",58.1
spectate_speed_increment,"Reset Assignments","Flight Power",57.9
use,Rude,"Social - Emotes",57.1
v_view_interact,"Interaction Mode","Quick Keys, Interactions, and Inner Thought",57.1
zgt_launch,Laugh,"Social - Emotes",57.1
spectate_toggle_thirdperson,"Spectator Camera Zoom In","Electronic Access Spectator",56.5
fixed_speed_decrement,"Shields Decrease (Tap)","Flight Power",56.4
fixed_speed_increment,"Shields Increase (Tap)","Flight Power",56.4
spectate_speed_decrement,"Default Movement Speed Decrease","On Foot All",56
v_weapon_ui_scale_toggle,"Weapon Preset Fire","Vehicles Weapons",55.6
v_starmap,Map,"Flight HUD",54.5
v_look_ahead_start_target_tracking,@ui_v_ads_cycle_tracking,"Vehicles View",53.1
v_target_match_vel,Threaten,"Social - Emotes",52.2
v_target_toggle_pin_index_1,"Toggle Mining Operator Mode","Vehicles - Seats and Operator Modes",52.2
v_target_toggle_pin_index_2,"Toggle Mining Operator Mode","Vehicles - Seats and Operator Modes",52.2
v_target_toggle_pin_index_3,"Toggle Mining Operator Mode","Vehicles - Seats and Operator Modes",52.2
pc_screen_focus_down,"Strafe Down","E.V.A All",51.9
pc_screen_focus_left,"Strafe Left","E.V.A All",51.9
v_hud_focused_cycle_mode_back,"Cycle Lock - In View - Back","Vehicle Target Cycling",51.2
v_view_cycle_internal_fwd,"Cycle Lock - In View - Forward","Vehicle Target Cycling",51.2
v_hud_focused_cycle_mode_fwd,"Cycle Focused Salvage Modifiers","Vehicles Salvage",51
v_target_toggle_pin_index_1_hold,"Auto Targeting - Toggle On (Short Press)","Vehicles Targeting",50.8
v_target_toggle_pin_index_2_hold,"Auto Targeting - Toggle On (Short Press)","Vehicles Targeting",50.8
v_target_toggle_pin_index_3_hold,"Auto Targeting - Toggle On (Short Press)","Vehicles Targeting",50.8
pc_screen_focus_up,Focus,"Quick Keys, Interactions, and Inner Thought",50
v_yaw_mouse,"Yaw left","Flight Movements",50
focus_on_chat_textinput,Attention,"Social - Emotes",48.3
zgt_detach,"Detach from Surface","E.V.A Zero-G Traversal",46.2
v_strafe_longitudinal_invert,"Strafe Down","E.V.A All",45.7
