action_key,suggested_label,category,confidence
eva_strafe_forward,"Strafe Forward","E.V.A All",89.7
v_shield_raise_level_up,"Shield raise level top","Vehicles Shields and Countermeasures",89.5
eva_strafe_right,"Strafe Right","E.V.A All",88
pc_zoom_out,"Zoom Out","On Foot All",87.5
eva_strafe_down,"Strafe Down","E.V.A All",87
eva_strafe_left,"Strafe Left","E.V.A All",87
eva_roll_right,"Roll right","Flight Movements",85.7
pc_zoom_in,"Zoom In","On Foot All",85.7
v_shield_raise_level_down,"Shield raise level front","Vehicles Shields and Countermeasures",85.7
zgt_roll_right,"Roll right","Flight Movements",85.7
v_weapon_preset_prev,"Weapon Preset Fire","Vehicles Weapons",84.8
spectate_rotatepitch,"Spectator Camera Rotate Pitch","Electronic Access Spectator",84.4
eva_roll_left,"Roll left","Flight Movements",84.2
eva_strafe_up,"Strafe Up","E.V.A All",84.2
zgt_roll_left,"Roll left","Flight Movements",84.2
prevweapon,"Previous Weapon","On Foot All",83.3
v_mfd_movement_right_long,"MFD - Movement - Right (Long Press)","Vehicles - Multi Function Displays",83.3
spectate_rotateyaw,"Spectator Camera Rotate Yaw","Electronic Access Spectator",82.9
v_unlock_all_ports,"Unlock All Doors","Vehicles Cockpit",82.8
port_modification_select,"Port Modification Interact","On Foot All",82.6
v_mfd_movement_down_long,"MFD - Movement - Down (Long Press)","Vehicles - Multi Function Displays",82.6
v_mfd_movement_left_long,"MFD - Movement - Left (Long Press)","Vehicles - Multi Function Displays",82.6
v_auto_targeting_toggle_long,"Auto Targeting - Toggle On (Long Press)","Vehicles Targeting",82.1
v_view_yaw_right,"View Right","E.V.A All",81.8
spectate_zoom_out,"Spectator Camera Zoom Out","Electronic Access Spectator",81.1
v_mfd_movement_up_long,"MFD - Movement - Up (Long Press)","Vehicles - Multi Function Displays",81
spectate_zoom_in,"Spectator Camera Zoom In","Electronic Access Spectator",80
v_lock_all_ports,"Lock All Doors","Vehicles Cockpit",80
v_view_yaw_left,"View Left","E.V.A All",80
zoom,"Zoom In","On Foot All",80
prone_rollright,"Roll right","Flight Movements",78.3
v_view_pitch_down,"Pitch down","Flight Movements",78.3
spectate_zoom,"Spectator Camera Zoom","Electronic Access Spectator",77.4
prone_rollleft,"Roll left","Flight Movements",76.2
spectate_rotatepitch_mouse,"Spectator Camera Rotate Pitch","Electronic Access Spectator",76
v_toggle_guns_mode,"Toggle Guns Operator Mode","Vehicles - Seats and Operator Modes",75.7
eva_view_yaw_right,"View Right","E.V.A All",75
eva_strafe_back,"Strafe Backward","E.V.A All",74.1
spectate_rotateyaw_mouse,"Spectator Camera Rotate Yaw","Electronic Access Spectator",73.9
v_target_cycle_attacker_back,"Cycle Lock - Attackers - Back","Vehicle Target Cycling",73.9
force_respawn,Re-spawn,"Social General",73.7
nextitem,"Inspect Item","On Foot All",73.7
v_view_dynamic_zoom_rel,"Dynamic Zoom In (rel.)","Vehicles View",73.7
v_view_pitch_up,"Pitch up","Flight Movements",73.7
v_view_zoom_out,"Zoom Out","On Foot All",73.7
eva_view_yaw_left,"View Left","E.V.A All",72.7
v_move_back,"Move Backwards","On Foot All",72.7
v_target_cycle_hostile_back,"Cycle Lock - Hostiles - Back","Vehicle Target Cycling",72.7
eva_view_pitch_down,"Pitch down","Flight Movements",72
v_hud_open_scoreboard,Scoreboard,"Flight HUD",71.4
v_view_zoom_in,"Zoom In","On Foot All",70.6
view_fov_in,"View Down","E.V.A All",70.6
holster,"Holster Weapon","On Foot All",70
toggle_chat,"Toggle VTOL","Flight Movements",70
v_view_dynamic_zoom_rel_in,"Dynamic Zoom In (rel.)","Vehicles View",70
